Iteration: 1, Num of entities: 10, Time: 0.017
Iteration: 2, Num of entities: 40, Time: 0.05
Iteration: 3, Num of entities: 90, Time: 0.035
Iteration: 4, Num of entities: 160, Time: 0.059
Iteration: 5, Num of entities: 250, Time: 0.091
Iteration: 6, Num of entities: 360, Time: 0.126
Iteration: 7, Num of entities: 490, Time: 0.172
Iteration: 8, Num of entities: 640, Time: 0.223
Iteration: 9, Num of entities: 810, Time: 0.286
Iteration: 10, Num of entities: 1000, Time: 0.356
Iteration: 11, Num of entities: 1210, Time: 0.425
Iteration: 12, Num of entities: 1440, Time: 0.503
Iteration: 13, Num of entities: 1690, Time: 0.592
Iteration: 14, Num of entities: 1960, Time: 0.693
Iteration: 15, Num of entities: 2250, Time: 0.798
Iteration: 16, Num of entities: 2560, Time: 0.906
Iteration: 17, Num of entities: 2890, Time: 1.023
Iteration: 18, Num of entities: 3240, Time: 1.141
Iteration: 19, Num of entities: 3610, Time: 1.282
Iteration: 20, Num of entities: 4000, Time: 1.404
Iteration: 21, Num of entities: 4410, Time: 1.562
Iteration: 22, Num of entities: 4840, Time: 1.711
Iteration: 23, Num of entities: 5290, Time: 1.871
Iteration: 24, Num of entities: 5760, Time: 2.029
Iteration: 25, Num of entities: 6250, Time: 2.205
Iteration: 26, Num of entities: 6760, Time: 2.469
Iteration: 27, Num of entities: 7290, Time: 2.561
Iteration: 28, Num of entities: 7840, Time: 2.77
Iteration: 29, Num of entities: 8410, Time: 2.964
